ticker;name;volume;last_price;variation
LUXM4;Trevisa;1500;15.00;4.90
TRPL3;Transmissão Paulista;1400;31.61;-1.25
AFLT3;Afluente T;1300;8.25;5.91
EQMA3B;Equatorial Maranhão;1200;28.00;-4.34
CSAB4;Cia de Seg Aliança da Bahia;1100;50.00;11.11
CRIV4;Alfa Financeira;1100;5.73;2.87
CGAS5;Comgás;1000;128.01;-0.77
WLMM4;WLM;1000;29.60;-2.95
NORD3;Nordon;1000;3.90;-4.88
BRKM6;Braskem;900;16.00;0.63
RSUL4;Metalúrgica Riosulense;800;76.98;1.57
MNPR3;Minupar;700;17.48;-3.69
BMIN4;Banco Mercantil de Investimentos;700;15.00;0.00
DTCY3;Dtcom;700;5.00;0.00
FRTA3;Pomi Frutas;700;2.17;1.88
BGIP4;Banese;600;21.95;0.00
EUCA3;Eucatex;600;15.24;0.40
PTNT3;Pettenati;500;10.75;-4.87
CRPG6;Tronox Pigmentos;400;36.99;-0.03
PATI3;Panatlântica;400;29.00;0.00
NEXP3;Brasil Brokers;400;5.17;-0.58
MNDL3;Mundial;300;48.59;-0.67
EKTR4;Elektro;200;38.75;0.00
CEDO3;Cedro Têxtil;200;22.77;0.00
PLAS3;Plascar;200;7.02;-1.13
CSRN3;COSERN;100;27.20;0.07
BRSR5;Banrisul;100;18.00;-5.11
CALI3;Adolpho Lindenberg;100;15.55;0.32
MERC4;Mercantil do Brasil Financeira;100;7.01;0.14
HETA4;Hercules;100;6.19;0.00
BMKS3;Monark;8;306.01;-0.33
HAGA3;Haga;4200;2.60;2.36
MWET4;Wetzel;3200;6.72;0.00
BRIV3;Alfa Investimento;1800;10.65;0.95
CTNM3;Coteminas;1100;8.00;0.00
CTKA4;Karsten;600;19.00;5.56
BAUH4;Excelsior;500;72.90;1.42
DMFN3;DMFN3;400;14.00;11.11
CEED3;CEEE D;200;21.73;-13.08
BSLI3;Banco de Brasília;200;13.52;3.21
IGTI4;Jereissati Participações;200;9.54;-1.45
IGTI4;Iguatemi;200;9.54;-1.45
CGAS3;Comgás;100;124.40;1.91
UNIP5;Unipar;100;78.00;-1.87
BSLI4;Banco de Brasília;100;13.17;0.00
FIEI3;FIEI3;100;12.00;0.00
BALM3;Baumer;100;11.70;6.36
BALM4;Baumer;100;9.80;0.00
RPAD3;Alfa Holdings;100;7.85;0.00
EALT3;Electro Aço Altona;1900;9.10;4.60
BMEB3;Banco Mercantil do Brasil;700;15.70;-6.21
CEEB3;COELBA;600;41.45;-0.10
JOPA3;Josapar;500;24.00;14.29
ENMT4;Energisa MT;400;66.00;0.00
CEED4;CEEE D;400;21.60;-10.00
BNBR3;Banco do Nordeste;200;97.00;0.00
DOHL3;Döhler;200;6.65;-5.00
CEEB5;COELBA;100;41.06;-1.20
PEAB3;Participações Aliança da Bahia;200;34.85;2.80
MRSA3B;MRS Logística;200;24.25;-3.19
BMIN3;Banco Mercantil de Investimentos;300;20.00;-4.76
BRGE12;Consórcio Alfa;200;10.50;0.00
FESA3;Ferbasa;100;61.92;-3.23
CLSC3;Celesc;100;58.99;-1.67
EQPA5;Equatorial Energia Pará;100;7.80;2.63
RPAD6;Alfa Holdings;100;7.38;0.27
ESTR4;Estrela;100;5.10;0.00
BRGE6;Consórcio Alfa;1000;11.40;2.24
EQPA7;Equatorial Energia Pará;1000;7.60;4.68
CRPG3;Tronox Pigmentos;500;39.95;-0.12
SNSY3;Sansuy;300;5.63;-0.53
CPLE5;Copel;200;23.20;-6.26
MRSA5B;MRS Logística;300;23.56;0.00
MAPT4;Cemepe;300;7.20;-16.86
BGIP3;Banese;100;25.94;1.49
CTKA3;Karsten;400;18.00;0.00
CSRN5;COSERN;100;28.00;0.00
GEPA3;Rio Paranapanema Energia;200;26.99;3.09
GSHP3;General Shopping & Outlets;200;16.19;4.45
RPAD5;Alfa Holdings;100;7.51;0.00
AHEB3;São Paulo Turismo;100;16.00;0.00
BRGE3;Consórcio Alfa;100;11.09;0.36
MOAR3;Monteiro Aranha;200;388.00;4.30
BRGE5;Consórcio Alfa;700;10.82;-1.28
CSRN6;COSERN;100;27.00;-3.57
TKNO4;Tekno;100;60.01;0.02
CSAB3;Cia de Seg Aliança da Bahia;100;34.00;0.00
BDLL3;Bardella;100;11.50;15.00
ELET5;Eletrobras;100;85.00;0.00
WLMM3;WLM;100;26.00;-7.04
SOND6;Sondotécnica;100;54.20;0.37
CBEE3;Ampla Energia;100;15.00;0.00
SOND5;Sondotécnica;100;55.00;7.82
GPAR3;CELGPAR;100;50.00;11.11
SQIA3;Sinqia;1444800;27.37;-0.29
HBTS5;Habitasul;300;52.00;0.00
ESTR3;Estrela;100;12.00;-4.69
BRGE11;Consórcio Alfa;100;10.75;-0.56
BRGE8;Consórcio Alfa;4200;10.81;-1.37
BRGE7;Consórcio Alfa;800;10.82;16.72
MRSA6B;MRS Logística;200;23.56;-11.09
ALSO3;Aliansce Sonae;5883300;23.33;2.06
BRPR3;BR Properties;10600;131.17;2.48
LIPR3;Eletropar;100;70.12;-0.09
PATI4;Panatlântica;100;33.00;3.12
MTSA3;METISA;100;79.00;2.60
SLED4;Saraiva;64300;1.60;-1.84
SLED3;Saraiva;3000;3.21;-0.31
EQPA6;Equatorial Energia Pará;100;10.05;0.00
AHEB6;São Paulo Turismo;100;17.02;0.06
PINE3;PINE;100;4.16;0.24
