open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1667829600000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;1;;;51.66;;fii;;;;
1668020400000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;1585;;;51.66;;fii;;;;
1668096000000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;0;;;51.66;;fii;;;;
1668103200000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;902;;;51.66;;fii;;;;
1668603600000;RCFF11.SA;97.99;97.99;97.99;97.99;97.99;611;;;51.66;;fii;;;;
1668704400000;RCFF11.SA;92.02;92.02;92.02;92.02;92.02;0;;;37.25;;fii;;;;
1668776400000;RCFF11.SA;92.02;92.02;92.0;92.0;92.0;122;;;37.22;;fii;;;;
1669399200000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;0;;;54.45;;fii;;;;
1669402800000;RCFF11.SA;98.98;98.99;98.98;98.99;98.99;1089;;;54.45;;fii;;;;
1669899600000;RCFF11.SA;98.5;98.5;98.5;98.5;98.5;0;;;53.26;;fii;;;;
1670004000000;RCFF11.SA;98.49;98.49;98.49;98.49;98.49;1994;;;53.23;;fii;;;;
1670252400000;RCFF11.SA;87.01;87.01;87.01;87.01;87.01;0;;;33.42;;fii;;;;
1670526000000;RCFF11.SA;98.45;98.47;98.45;98.47;98.47;2110;;;52.45;;fii;;;;
1670954400000;RCFF11.SA;85.51;85.51;85.51;85.51;85.51;0;;;38.91;;fii;;;;
1672059600000;RCFF11.SA;85.51;85.51;85.51;85.51;85.51;0;;;38.91;;fii;;;;
1672232400000;RCFF11.SA;85.52;85.52;85.52;85.52;85.52;0;;;38.92;;fii;;;;
1672236000000;RCFF11.SA;92.98;93.0;92.98;93.0;93.0;4;;;48.5;;fii;;;;
1675170000000;RCFF11.SA;91.93;91.93;91.93;91.93;91.93;0;;;47.36;;fii;;;;
1675699200000;RCFF11.SA;89.0;89.0;89.0;89.0;89.0;4;;;44.28;;fii;;;;
1677247200000;RCFF11.SA;85.0;85.0;85.0;85.0;85.0;0;;;40.41;;fii;;;;
1678114800000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;6;;;55.16;;fii;;;;
1678122000000;RCFF11.SA;99.0;99.0;99.0;99.0;99.0;1;;;55.17;;fii;;;;
1678125600000;RCFF11.SA;98.95;98.95;98.95;98.95;98.95;5;;;55.11;;fii;;;;
1678194000000;RCFF11.SA;98.93;98.99;98.93;98.99;98.99;0;;;55.15;;fii;;;;
1678215600000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;24;;;55.15;;fii;;;;
1678280400000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;0;;;55.15;;fii;;;;
1678284000000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;64;;;55.15;;fii;;;;
1678287600000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;54;;;55.15;;fii;;;;
1678298400000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;20;;;55.15;;fii;;;;
1678370400000;RCFF11.SA;100.0;100.0;100.0;100.0;100.0;229;;;56.65;;fii;;;;
1678374000000;RCFF11.SA;100.0;100.0;100.0;100.0;100.0;505;;;56.65;;fii;;;;
1678726800000;RCFF11.SA;100.0;100.0;100.0;100.0;100.0;210;;;56.65;;fii;;;;
1678806000000;RCFF11.SA;100.0;100.0;100.0;100.0;100.0;39;;;56.65;;fii;;;;
1679058000000;RCFF11.SA;99.0;99.0;99.0;99.0;99.0;0;;;54.23;;fii;;;;
1679680800000;RCFF11.SA;98.99;98.99;98.99;98.99;98.99;172;;;54.2;;fii;;;;
1679932800000;RCFF11.SA;85.5;89.0;85.5;89.0;89.0;2;;;36.24;;fii;;;;
1679940000000;RCFF11.SA;98.97;98.97;90.79;90.79;90.79;3;;;40.08;;fii;;;;
1680094800000;RCFF11.SA;93.7;93.7;93.7;93.7;93.7;0;;;45.78;;fii;;;;
1680098400000;RCFF11.SA;94.11;94.11;94.11;94.11;94.11;6;;;46.55;;fii;;;;
1680289200000;RCFF11.SA;99.0;99.0;99.0;99.0;99.0;1;;;54.82;;fii;;;;
1680530400000;RCFF11.SA;98.99;110.0;98.99;110.0;110.0;198;;;67.13;;fii;;;;
1680534000000;RCFF11.SA;102.0;102.0;102.0;102.0;102.0;20;;;55.32;;fii;;;;
1680537600000;RCFF11.SA;102.1;110.5;102.1;110.5;110.5;557;;;62.81;;fii;;;;
1680710400000;RCFF11.SA;105.0;110.0;105.0;110.0;110.0;0;;;62.15;;fii;;;;
1681131600000;RCFF11.SA;109.5;110.0;109.5;110.0;110.0;9;;;62.15;;fii;;;;
1682690400000;RCFF11.SA;100.0;100.0;100.0;100.0;100.0;0;;;49.97;;fii;;;;
1685458800000;RCFF11.SA;85.01;85.01;85.01;85.01;85.01;0;;;37.97;;fii;;;;
1685628000000;RCFF11.SA;94.98;94.98;94.98;94.98;94.98;18;;;47.08;;fii;;;;
1685642400000;RCFF11.SA;90.02;90.02;90.02;90.02;90.02;200;;;43.64;;fii;;;;
