s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;ticker_type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-09-21;1632182400000;PETZ3.SA;25.62;26.55;25.62;26.19;26.01;2843435;stock;23.22;12.01;23.39;11.97;49.81;ESTAVEL
2021-09-22;1632268800000;PETZ3.SA;26.37;26.77;26.11;26.38;26.2;2983445;stock;23.25;12.68;23.42;12.63;51.06;ESTAVEL
2021-09-23;1632355200000;PETZ3.SA;26.38;27.25;26.06;26.11;25.94;6875153;stock;23.28;11.42;23.45;11.34;49.26;ESTAVEL
2021-09-24;1632441600000;PETZ3.SA;25.96;26.27;25.39;25.72;25.55;3610082;stock;23.31;9.63;23.48;9.56;46.6;ESTAVEL
2021-09-27;1632700800000;PETZ3.SA;25.64;25.99;25.06;25.72;25.55;4934765;stock;23.33;9.51;23.5;9.45;46.6;ESTAVEL
2021-09-28;1632787200000;PETZ3.SA;25.46;25.57;23.74;24.21;24.04;8884644;stock;23.34;3.01;23.51;2.99;37.5;ESTAVEL
2021-09-29;1632873600000;PETZ3.SA;24.59;24.72;23.6;23.83;23.67;5315782;stock;23.34;1.41;23.51;1.36;35.67;ESTAVEL
2021-09-30;1632960000000;PETZ3.SA;24.04;24.22;23.03;23.39;23.23;6787095;stock;23.34;-0.47;23.51;-0.51;33.56;ESTAVEL
2021-10-01;1633046400000;PETZ3.SA;23.36;24.09;22.59;23.93;23.77;7917810;stock;23.35;1.82;23.51;1.77;38.37;ESTAVEL
2021-10-04;1633305600000;PETZ3.SA;23.93;23.93;22.68;22.9;22.75;3478697;stock;23.34;-2.52;23.51;-2.58;33.45;ESTAVEL
2021-10-05;1633392000000;PETZ3.SA;23.03;23.43;22.57;23.23;23.07;4944293;stock;23.34;-1.14;23.5;-1.17;36.21;ESTAVEL
2021-10-06;1633478400000;PETZ3.SA;22.53;23.03;22.02;22.84;22.69;6861413;stock;23.33;-2.74;23.5;-2.8;34.38;ESTAVEL
2021-10-07;1633564800000;PETZ3.SA;23.05;23.3;22.66;23.06;22.9;4253167;stock;23.32;-1.82;23.49;-1.84;36.3;ESTAVEL
2021-10-08;1633651200000;PETZ3.SA;23.34;24.0;23.26;23.33;23.17;4255975;stock;23.32;-0.65;23.49;-0.68;38.77;ESTAVEL
2021-10-11;1633910400000;PETZ3.SA;23.32;23.48;21.35;21.93;21.78;8491491;stock;23.31;-6.55;23.47;-6.58;31.91;ESTAVEL
2021-10-13;1634083200000;PETZ3.SA;22.19;23.72;22.19;23.4;23.24;6170287;stock;23.31;-0.28;23.47;-0.31;43.27;ESTAVEL
2021-10-14;1634169600000;PETZ3.SA;23.44;24.16;22.95;23.79;23.63;5809028;stock;23.31;1.38;23.48;1.33;45.86;ESTAVEL
2021-10-15;1634256000000;PETZ3.SA;23.98;23.98;23.2;23.7;23.54;5251293;stock;23.31;0.98;23.48;0.94;45.35;ESTAVEL
2021-10-18;1634515200000;PETZ3.SA;23.49;23.78;22.97;23.38;23.22;5030847;stock;23.31;-0.39;23.48;-0.42;43.47;ESTAVEL
2021-10-19;1634601600000;PETZ3.SA;23.15;23.3;22.05;22.34;22.19;4322972;stock;23.3;-4.76;23.47;-4.8;38.03;ESTAVEL
2021-10-20;1634688000000;PETZ3.SA;22.57;22.61;21.25;21.32;21.17;9054642;stock;23.28;-9.05;23.44;-9.06;33.55;ESTAVEL
2021-10-21;1634774400000;PETZ3.SA;20.74;21.23;19.26;20.04;19.9;11220692;stock;23.24;-14.37;23.41;-14.38;28.97;SUBIR
2021-10-22;1634860800000;PETZ3.SA;19.59;19.96;18.76;19.48;19.35;17051785;stock;23.2;-16.59;23.36;-16.63;27.24;SUBIR
2021-10-25;1635120000000;PETZ3.SA;19.84;20.35;19.53;19.86;19.73;6680884;stock;23.16;-14.82;23.33;-14.87;30.34;ESTAVEL
2021-10-26;1635206400000;PETZ3.SA;19.5;19.7;18.67;18.94;18.82;4155381;stock;23.12;-18.58;23.28;-18.65;27.33;SUBIR
2021-10-27;1635292800000;PETZ3.SA;18.95;19.48;18.75;18.77;18.65;4402104;stock;23.07;-19.15;23.23;-19.21;26.8;SUBIR
2021-10-28;1635379200000;PETZ3.SA;18.7;19.19;18.4;18.92;18.8;5033454;stock;23.02;-18.34;23.19;-18.4;28.13;SUBIR
2021-10-29;1635465600000;PETZ3.SA;18.92;19.28;18.47;18.71;18.59;6137992;stock;22.98;-19.09;23.14;-19.14;27.38;SUBIR
2021-11-01;1635724800000;PETZ3.SA;18.98;19.86;18.92;19.25;19.12;5082498;stock;22.93;-16.63;23.1;-16.66;32.3;ESTAVEL
2021-11-03;1635897600000;PETZ3.SA;19.12;21.0;18.97;20.76;20.62;7062502;stock;22.91;-10.0;23.07;-10.03;43.89;ESTAVEL
2021-11-04;1635984000000;PETZ3.SA;20.54;21.62;20.18;20.58;20.44;6892805;stock;22.88;-10.68;23.05;-10.71;42.94;ESTAVEL
2021-11-05;1636070400000;PETZ3.SA;21.14;21.14;20.3;20.39;20.25;5431321;stock;22.86;-11.4;23.02;-11.42;41.91;ESTAVEL
2021-11-08;1636329600000;PETZ3.SA;20.24;20.26;19.34;19.55;19.42;6825708;stock;22.82;-14.9;22.98;-14.94;37.66;ESTAVEL
2021-11-09;1636416000000;PETZ3.SA;20.11;21.22;19.94;20.83;20.69;12510000;stock;22.8;-9.24;22.96;-9.28;46.59;ESTAVEL
2021-11-10;1636502400000;PETZ3.SA;20.55;22.57;20.55;21.89;21.74;11909100;stock;22.79;-4.59;22.95;-4.61;52.63;ESTAVEL
2021-11-11;1636588800000;PETZ3.SA;22.4;23.3;22.39;22.81;22.65;6170000;stock;22.78;-0.59;22.95;-0.6;57.15;ESTAVEL
2021-11-12;1636675200000;PETZ3.SA;22.95;23.39;21.93;21.97;21.82;3804100;stock;22.77;-4.19;22.94;-4.22;52.25;ESTAVEL
2021-11-16;1637020800000;PETZ3.SA;21.93;22.01;20.08;20.42;20.28;7153600;stock;22.75;-10.85;22.91;-10.87;44.61;ESTAVEL
2021-11-17;1637107200000;PETZ3.SA;20.71;20.82;19.41;19.49;19.36;6098300;stock;22.71;-14.76;22.87;-14.8;40.77;ESTAVEL
2021-11-18;1637193600000;PETZ3.SA;19.49;20.09;19.3;19.55;19.42;5707300;stock;22.68;-14.37;22.84;-14.4;41.13;ESTAVEL
2021-11-19;1637280000000;PETZ3.SA;19.65;20.78;19.3;19.55;19.42;8036200;stock;22.64;-14.24;22.8;-14.27;41.13;ESTAVEL
2021-11-22;1637539200000;PETZ3.SA;19.55;19.92;18.72;19.14;19.01;7894300;stock;22.61;-15.9;22.77;-15.93;39.26;ESTAVEL
2021-11-23;1637625600000;PETZ3.SA;19.24;19.24;17.75;18.37;18.24;8231600;stock;22.56;-19.15;22.72;-19.15;35.95;ESTAVEL
2021-11-24;1637712000000;PETZ3.SA;18.29;18.87;17.47;18.57;18.44;8863000;stock;22.52;-18.1;22.68;-18.11;37.43;ESTAVEL
2021-11-25;1637798400000;PETZ3.SA;18.68;19.34;18.55;19.17;19.04;2731500;stock;22.48;-15.3;22.64;-15.32;41.75;ESTAVEL
2021-11-26;1637884800000;PETZ3.SA;18.43;19.04;18.4;18.5;18.37;3273100;stock;22.44;-18.12;22.6;-18.13;38.55;ESTAVEL
2021-11-29;1638144000000;PETZ3.SA;18.83;18.97;18.41;18.5;18.37;4758100;stock;22.39;-17.97;22.55;-17.97;38.55;ESTAVEL
2021-11-30;1638230400000;PETZ3.SA;18.53;18.73;17.66;18.21;18.09;6939900;stock;22.35;-19.06;22.51;-19.09;37.17;ESTAVEL
2021-12-01;1638316800000;PETZ3.SA;18.7;18.99;17.81;18.45;18.32;8262400;stock;22.31;-17.87;22.47;-17.87;39.1;ESTAVEL
2021-12-02;1638403200000;PETZ3.SA;18.93;19.0;17.69;18.08;17.96;8262900;stock;22.26;-19.32;22.42;-19.35;37.17;ESTAVEL
2021-12-03;1638489600000;PETZ3.SA;18.19;19.56;18.13;19.13;19.0;6039100;stock;22.23;-14.52;22.38;-14.54;45.53;ESTAVEL
2021-12-06;1638748800000;PETZ3.SA;19.31;19.45;18.92;18.92;18.79;3489800;stock;22.19;-15.33;22.35;-15.34;44.25;ESTAVEL
2021-12-07;1638835200000;PETZ3.SA;19.2;19.93;19.15;19.72;19.59;3441100;stock;22.16;-11.61;22.32;-11.65;50.01;ESTAVEL
2021-12-08;1638921600000;PETZ3.SA;19.9;20.63;19.21;20.5;20.36;4262700;stock;22.14;-8.06;22.3;-8.08;54.85;ESTAVEL
2021-12-09;1639008000000;PETZ3.SA;20.36;20.39;19.22;19.32;19.19;3947000;stock;22.11;-13.22;22.27;-13.25;47.35;ESTAVEL
2021-12-10;1639094400000;PETZ3.SA;19.57;20.2;19.48;19.84;19.7;3392400;stock;22.09;-10.81;22.25;-10.81;50.53;ESTAVEL
2021-12-13;1639353600000;PETZ3.SA;19.81;20.53;19.63;19.8;19.66;3485800;stock;22.06;-10.89;22.22;-10.89;50.27;ESTAVEL
2021-12-14;1639440000000;PETZ3.SA;19.77;20.11;18.8;18.86;18.73;3976200;stock;22.03;-14.97;22.18;-14.99;44.61;ESTAVEL
2021-12-15;1639526400000;PETZ3.SA;19.03;19.35;18.44;19.17;19.04;5438500;stock;22.0;-13.45;22.15;-13.47;46.76;ESTAVEL
2021-12-16;1639612800000;PETZ3.SA;19.17;19.62;18.54;18.67;18.54;4015800;stock;21.96;-15.58;22.12;-15.59;43.8;ESTAVEL
2021-12-17;1639699200000;PETZ3.SA;18.61;18.78;18.01;18.62;18.49;8781500;stock;21.93;-15.67;22.08;-15.67;43.51;ESTAVEL
2021-12-20;1639958400000;PETZ3.SA;18.41;18.47;17.85;17.89;17.77;3049900;stock;21.88;-18.79;22.04;-18.82;39.38;ESTAVEL
2021-12-21;1640044800000;PETZ3.SA;17.97;18.08;17.27;17.53;17.41;5549400;stock;21.84;-20.27;21.99;-20.28;37.46;ESTAVEL
2021-12-22;1640131200000;PETZ3.SA;17.65;17.9;17.3;17.33;17.21;3883200;stock;21.79;-21.01;21.94;-21.02;36.4;ESTAVEL
2021-12-23;1640217600000;PETZ3.SA;17.44;17.47;16.51;16.83;16.72;6131300;stock;21.73;-23.07;21.89;-23.11;33.88;ESTAVEL
2021-12-27;1640563200000;PETZ3.SA;16.95;17.23;16.84;16.9;16.81;2641300;stock;21.68;-22.48;21.84;-22.61;34.77;ESTAVEL
2021-12-28;1640649600000;PETZ3.SA;16.9;17.22;16.63;16.63;16.54;2091100;stock;21.63;-23.53;21.78;-23.65;33.32;ESTAVEL
2021-12-29;1640736000000;PETZ3.SA;16.56;16.93;16.28;16.4;16.31;4417800;stock;21.58;-24.4;21.73;-24.52;32.08;ESTAVEL
2021-12-30;1640822400000;PETZ3.SA;16.5;16.7;16.2;16.37;16.28;5843000;stock;21.52;-24.35;21.67;-24.46;31.92;ESTAVEL
2022-01-03;1641168000000;PETZ3.SA;16.41;16.57;15.52;15.82;15.73;6452600;stock;21.46;-26.7;21.61;-26.79;28.96;SUBIR
2022-01-04;1641254400000;PETZ3.SA;15.96;16.08;14.37;14.41;14.33;12293000;stock;21.39;-32.99;21.54;-33.09;23.09;SUBIR
2022-01-05;1641340800000;PETZ3.SA;14.41;14.72;13.77;13.77;13.69;10039900;stock;21.31;-35.75;21.46;-35.82;20.99;SUBIR
2022-01-06;1641427200000;PETZ3.SA;13.91;14.46;13.39;14.03;13.95;8400200;stock;21.23;-34.29;21.38;-34.37;24.01;SUBIR
2022-01-07;1641513600000;PETZ3.SA;13.95;14.52;13.6;14.18;14.1;6569100;stock;21.16;-33.35;21.3;-33.44;25.77;SUBIR
2022-01-10;1641772800000;PETZ3.SA;14.0;14.08;13.37;14.0;13.92;7164300;stock;21.08;-33.97;21.23;-34.05;25.02;SUBIR
2022-01-11;1641859200000;PETZ3.SA;14.0;15.21;14.0;14.99;14.91;13102200;stock;21.02;-29.06;21.16;-29.17;36.03;ESTAVEL
2022-01-12;1641945600000;PETZ3.SA;15.0;16.13;14.97;15.55;15.47;11010600;stock;20.96;-26.19;21.11;-26.32;41.29;ESTAVEL
2022-01-13;1642032000000;PETZ3.SA;15.47;15.6;14.85;15.4;15.32;5594500;stock;20.9;-26.7;21.05;-26.83;40.33;ESTAVEL
2022-01-14;1642118400000;PETZ3.SA;15.3;15.5;14.88;15.24;15.16;3202800;stock;20.84;-27.26;20.99;-27.38;39.29;ESTAVEL
2022-01-17;1642377600000;PETZ3.SA;15.23;15.29;14.92;15.02;14.94;1717600;stock;20.78;-28.11;20.92;-28.22;37.84;ESTAVEL
2022-01-18;1642464000000;PETZ3.SA;14.9;15.07;14.51;14.78;14.7;5581100;stock;20.72;-29.05;20.86;-29.15;36.26;ESTAVEL
2022-01-19;1642550400000;PETZ3.SA;14.87;15.68;14.73;14.73;14.65;5182200;stock;20.66;-29.08;20.8;-29.18;35.93;ESTAVEL
2022-01-20;1642636800000;PETZ3.SA;14.74;16.47;14.74;16.16;16.07;10127900;stock;20.61;-22.02;20.75;-22.12;50.05;ESTAVEL
2022-01-21;1642723200000;PETZ3.SA;16.09;17.04;15.87;16.7;16.61;8832400;stock;20.57;-19.24;20.71;-19.36;54.18;ESTAVEL
2022-01-24;1642982400000;PETZ3.SA;16.7;16.7;15.85;15.89;15.8;7826000;stock;20.52;-23.0;20.66;-23.08;47.79;ESTAVEL
2022-01-25;1643068800000;PETZ3.SA;15.7;16.9;15.53;16.78;16.69;6615500;stock;20.48;-18.5;20.62;-18.62;54.19;ESTAVEL
2022-01-26;1643155200000;PETZ3.SA;16.98;18.98;16.98;18.01;17.91;20634000;stock;20.45;-12.43;20.59;-12.54;61.2;ESTAVEL
2022-01-27;1643241600000;PETZ3.SA;18.32;18.48;17.12;17.51;17.41;10590500;stock;20.42;-14.74;20.56;-14.84;57.33;ESTAVEL
2022-01-28;1643328000000;PETZ3.SA;17.58;17.7;16.83;17.06;16.97;5720500;stock;20.39;-16.75;20.52;-16.88;54.08;ESTAVEL
2022-01-31;1643587200000;PETZ3.SA;17.08;18.0;16.94;17.81;17.71;4674700;stock;20.36;-13.01;20.5;-13.11;58.35;ESTAVEL
2022-02-01;1643673600000;PETZ3.SA;17.7;18.3;17.64;17.95;17.85;5366400;stock;20.33;-12.21;20.47;-12.31;59.13;ESTAVEL
2022-02-02;1643760000000;PETZ3.SA;18.0;18.29;17.47;17.67;17.57;5803300;stock;20.3;-13.46;20.44;-13.56;56.85;ESTAVEL
2022-02-03;1643846400000;PETZ3.SA;17.64;18.58;17.49;17.59;17.49;4668900;stock;20.27;-13.74;20.41;-13.83;56.18;ESTAVEL
2022-02-04;1643932800000;PETZ3.SA;17.67;18.07;16.72;17.67;17.57;8708200;stock;20.25;-13.22;20.38;-13.31;56.73;ESTAVEL
2022-02-07;1644192000000;PETZ3.SA;17.64;18.16;17.32;17.8;17.7;4388600;stock;20.22;-12.47;20.36;-12.56;57.65;ESTAVEL
2022-02-08;1644278400000;PETZ3.SA;17.76;17.86;17.18;17.2;17.11;4733400;stock;20.19;-15.25;20.32;-15.37;52.21;ESTAVEL
2022-02-09;1644364800000;PETZ3.SA;17.31;17.75;17.15;17.28;17.19;2878500;stock;20.16;-14.72;20.29;-14.85;52.86;ESTAVEL
2022-02-10;1644451200000;PETZ3.SA;17.38;17.54;16.44;16.74;16.65;5723700;stock;20.12;-17.25;20.26;-17.36;48.11;ESTAVEL
2022-02-11;1644537600000;PETZ3.SA;16.87;17.2;16.43;16.53;16.44;5606300;stock;20.08;-18.14;20.22;-18.24;46.36;ESTAVEL
2022-02-14;1644796800000;PETZ3.SA;16.52;17.85;16.46;17.62;17.52;8105700;stock;20.06;-12.65;20.19;-12.74;55.34;ESTAVEL
