s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-07-06;1688601600000;OGHY11.SA;9.97;9.98;9.52;9.98;9.53;154;fii;;;;;92.87
2023-07-07;1688688000000;OGHY11.SA;9.98;9.98;9.98;9.98;9.53;104;fii;;;;;92.87
2023-07-10;1688947200000;OGHY11.SA;9.98;9.98;9.98;9.98;9.53;63;fii;;;;;92.87
2023-07-11;1689033600000;OGHY11.SA;9.98;9.99;9.5;9.99;9.54;195;fii;;;;;93.6
2023-07-12;1689120000000;OGHY11.SA;9.99;10.02;9.99;10.02;9.57;1111;fii;;;;;95.18
2023-07-13;1689206400000;OGHY11.SA;10.01;10.02;10.01;10.02;9.57;54;fii;;;;;95.18
2023-07-14;1689292800000;OGHY11.SA;10.02;10.02;10.02;10.02;9.57;40;fii;;;;;95.18
2023-07-17;1689552000000;OGHY11.SA;10.02;10.02;9.9;10.02;9.57;177;fii;;;;;95.18
2023-07-18;1689638400000;OGHY11.SA;10.02;10.04;10.01;10.03;9.58;795;fii;;;;;95.66
2023-07-19;1689724800000;OGHY11.SA;10.03;10.05;10.02;10.05;9.59;1548;fii;;;;;96.08
2023-07-20;1689811200000;OGHY11.SA;9.55;10.51;9.55;10.05;9.59;1540;fii;;;;;96.08
2023-07-21;1689897600000;OGHY11.SA;10.05;10.06;10.05;10.06;9.6;207;fii;;;;;96.48
2023-07-24;1690156800000;OGHY11.SA;10.07;10.07;9.81;10.04;9.58;2046;fii;;;;;79.22
2023-07-25;1690243200000;OGHY11.SA;10.07;10.07;9.95;10.07;9.61;239;fii;;;;;83.88
2023-07-26;1690329600000;OGHY11.SA;10.08;10.08;9.6;10.07;9.61;2885;fii;;;;;83.88
2023-07-27;1690416000000;OGHY11.SA;10.08;10.08;10.08;10.08;9.62;1176;fii;;;;;85.17
2023-07-28;1690502400000;OGHY11.SA;9.87;10.1;9.87;10.1;9.64;16;fii;;;;;87.34
2023-07-31;1690761600000;OGHY11.SA;10.1;10.12;10.09;10.12;9.66;526;fii;;;;;89.07
2023-08-01;1690848000000;OGHY11.SA;10.02;10.02;9.92;10.02;9.69;13;fii;;;;;91.04
2023-08-02;1690934400000;OGHY11.SA;9.92;10.03;9.6;10.03;9.7;990;fii;;;;;91.58
2023-08-03;1691020800000;OGHY11.SA;9.9;10.03;9.61;9.98;9.65;692;fii;;;;;68.98
2023-08-04;1691107200000;OGHY11.SA;9.98;9.98;9.65;9.98;9.65;762;fii;;;;;68.98
2023-08-07;1691366400000;OGHY11.SA;9.98;9.98;9.62;9.98;9.65;160;fii;;;;;68.98
2023-08-08;1691452800000;OGHY11.SA;9.98;9.98;9.7;9.98;9.65;171;fii;;;;;68.98
2023-08-09;1691539200000;OGHY11.SA;9.98;9.98;9.8;9.97;9.64;407;fii;;;;;64.69
